date,hospital_id,ward_code,wait_per_triage,age,bed_impact_score,arrival_source_ambulance,arrival_source_referral,arrival_source_self,arrival_source_transfer,outcome_death,outcome_discharged,outcome_readmit_30d,outcome_transferred,outcome_unknown,sex_F,sex_M,sex_X,base_beds,effective_capacity,admissions,staffing_index,discharge_rate_per_bed,occupancy_lag1,occupancy_lag7,overflow_lag1,overflow_lag7,discharges_lag1,discharges_lag7,admission_rate_per_bed_lag1,admission_rate_per_bed_lag7,avg_wait_minutes_lag1,avg_wait_minutes_lag7,occupancy_rate_lag1,occupancy_rate_lag7
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,43,0.927,1.067,34.0,34.0,42.0,26.0,33.0,33.0,2.233,1.867,227.0,227.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,59,1.043,1.033,34.0,34.0,15.0,42.0,32.0,28.0,1.433,2.2,211.0,299.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,67,0.949,1.1,34.0,34.0,32.0,39.0,31.0,23.0,1.967,1.933,220.0,243.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,67,0.975,1.033,34.0,34.0,39.0,20.0,33.0,32.0,2.233,1.6,284.0,218.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,67,0.92,1.067,34.0,34.0,42.0,25.0,31.0,33.0,2.233,1.833,299.0,249.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,58,0.933,0.967,34.0,34.0,41.0,38.0,32.0,27.0,2.233,2.033,297.0,292.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,58,0.989,1.0,34.0,34.0,33.0,42.0,29.0,33.0,1.933,2.233,299.0,227.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,64,1.009,1.033,34.0,34.0,32.0,15.0,30.0,32.0,1.933,1.433,238.0,211.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,67,1.003,1.0,34.0,34.0,37.0,32.0,31.0,31.0,2.133,1.967,281.0,220.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,57,0.984,1.067,34.0,34.0,42.0,39.0,30.0,33.0,2.233,2.233,299.0,284.0,1.0,1.0
2022-10-28,1,ED,59.21090909090909,54.89090909090909,0.0,18,9,27,1,0,38,0,17,0,18,37,0,30,34,67,0.984,1.033,34.0,34.0,29.0,42.0,32.0,31.0,1.9,2.233,262.0,299.0,1.0,1.0
