date,hospital_id,ward_code,base_beds,effective_capacity,occupancy,overflow,admissions,discharges,staffing_index,avg_wait_minutes,admission_rate_per_bed,discharge_rate_per_bed,occupancy_rate
2022-10-28,1,ED,30,34,34,26,51,17,0.999,219,1.7,0.567,1.0
2022-10-29,1,ED,30,34,34,35,62,31,0.938,223,2.067,1.033,1.0
2022-10-30,1,ED,30,34,34,39,63,28,0.953,275,2.1,0.933,1.0
2022-11-01,1,ED,30,34,34,29,55,30,1.013,257,1.833,1.0,1.0
2022-11-02,1,ED,30,34,34,32,57,29,0.976,268,1.9,0.967,1.0
2022-11-03,1,ED,30,34,34,31,61,34,1.002,248,2.033,1.133,1.0
2022-11-04,1,ED,30,34,34,21,50,33,1.008,249,1.667,1.1,1.0
2022-11-05,1,ED,30,34,34,15,44,33,0.922,213,1.467,1.1,1.0
2022-11-06,1,ED,30,34,34,26,55,33,1.007,235,1.833,1.1,1.0
2022-11-07,1,ED,30,34,34,23,47,28,1.0,203,1.567,0.933,1.0
2022-11-08,1,ED,30,34,34,17,42,29,0.944,200,1.4,0.967,1.0
2022-11-09,1,ED,30,34,34,25,49,28,1.014,171,1.633,0.933,1.0
2022-11-10,1,ED,30,34,34,13,41,32,0.997,179,1.367,1.067,1.0
2022-11-11,1,ED,30,34,34,24,52,32,0.974,205,1.733,1.067,1.0
2022-11-12,1,ED,30,34,34,43,69,30,0.912,335,2.3,1.0,1.0
2022-11-13,1,ED,30,34,34,47,73,30,0.961,381,2.433,1.0,1.0
2022-11-14,1,ED,30,34,34,37,62,29,0.997,244,2.067,0.967,1.0
2022-11-15,1,ED,30,34,34,17,46,33,0.976,206,1.533,1.1,1.0
2022-11-16,1,ED,30,34,34,22,50,32,1.038,240,1.667,1.067,1.0
2022-11-17,1,ED,30,34,34,39,65,30,0.959,298,2.167,1.0,1.0
2022-11-18,1,ED,30,34,34,21,45,28,1.004,179,1.5,0.933,1.0
2022-11-19,1,ED,30,34,34,26,51,29,0.971,176,1.7,0.967,1.0
2022-11-20,1,ED,30,34,34,30,57,31,0.927,267,1.9,1.033,1.0
